operator,family,status,impls,verified_impls,reference_parity,reference_impl,autograd,dtypes,atol,rtol,device
acos,elementwise,parity,2d,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
add,elementwise,experimental,2d|nd|simd|gpu|cuda,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu|gpu|cuda
asin,elementwise,parity,2d,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
atan,elementwise,parity,2d,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
atan2,elementwise,parity,2d,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
avg_pool2d,convolution,experimental,simd,,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
batch_norm,normalization,experimental,simd,,true,scirust_core::tensor::parity,true,f32,0.0001,0.0001,cpu
bmm,linear,experimental,2d|nd,,true,scirust_core::tensor::parity,true,f32,0.0001,0.0001,cpu
broadcast_to,shape,experimental,2d|core,,true,scirust_core::tensor::parity,true,f32,0,0,cpu
cat,shape,experimental,nd,,true,scirust_core::tensor::parity,true,f32,0,0,cpu
cholesky,linear,experimental,simd,,true,scirust_core::tensor::parity,false,f32,0.0001,0.0001,cpu
conv1d,convolution,experimental,simd,,true,scirust_core::tensor::parity,true,f32,0.0001,0.0001,cpu
conv2d,convolution,experimental,simd,,true,scirust_core::tensor::parity,true,f32,0.0001,0.0001,cpu
cos,elementwise,parity,2d,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
cosh,elementwise,parity,2d,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
cosine_similarity,linear,experimental,2d,,true,scirust_core::tensor::parity,true,f32,0.0001,0.0001,cpu
cross_entropy,loss,experimental,nd|simd|gpu|cuda,,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu|gpu|cuda
digamma,special,experimental,simd,,true,scirust_core::tensor::parity,true,f64,0.000000001,0.000000001,cpu
div,elementwise,experimental,2d|nd,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
dropout,normalization,experimental,2d,,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
eig,linear,missing,,,false,,false,f32,0.0001,0.0001,
einsum,linear,experimental,tnd,,true,scirust_core::tensor::parity,false,f32,0.0001,0.0001,cpu
embedding,indexing,experimental,2d|simd|gpu|cuda,,true,scirust_core::tensor::parity,true,f32,0,0,cpu|gpu|cuda
exp,elementwise,experimental,2d|nd|simd,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
fake_quantize_per_tensor,quantization,experimental,2d,,true,scirust_core::tensor::parity,true,f32,0,0,cpu
fft,spectral,missing,,,false,,false,f32|f64,0.00001,0.00001,
flatten,shape,experimental,core,,true,scirust_core::tensor::parity,false,f32,0,0,cpu
gather,shape,experimental,nd,,true,scirust_core::tensor::parity,true,f32,0,0,cpu
gelu,elementwise,experimental,simd,,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
layer_norm,normalization,experimental,2d|nd|simd,,true,scirust_core::tensor::parity,true,f32,0.0001,0.0001,cpu
lgamma,special,experimental,simd,,true,scirust_core::tensor::parity,true,f64,0.0000000001,0.0000000001,cpu
linear,linear,experimental,2d|simd,,true,scirust_core::tensor::parity,true,f32,0.0001,0.0001,cpu
log,elementwise,parity,2d,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
log10,elementwise,parity,2d,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
log_softmax,normalization,experimental,2d,,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
lstsq,linear,missing,,,false,,false,f32,0.0001,0.0001,
matmul,linear,experimental,2d|nd|simd|gpu|cuda,,true,scirust_core::tensor::parity,true,f32,0.0001,0.0001,cpu|gpu|cuda
max,reduction,experimental,2d|gpu,,true,scirust_core::tensor::parity,true,f32,0,0,cpu|gpu
max_pool2d,convolution,experimental,2d|simd,,true,scirust_core::tensor::parity,true,f32,0,0,cpu
mean,reduction,experimental,2d|gpu|cuda,,true,scirust_core::tensor::parity,true,f32,0.0001,0.0001,cpu|gpu|cuda
mse_loss,loss,experimental,simd,,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
mul,elementwise,experimental,2d|nd|gpu|cuda,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu|gpu|cuda
neg,elementwise,parity,2d,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
norm,reduction,experimental,core,,true,scirust_core::tensor::parity,false,f32,0.0001,0.0001,cpu
normalize,linear,experimental,2d,,true,scirust_core::tensor::parity,true,f32,0.0001,0.0001,cpu
permute,shape,experimental,nd|core,,true,scirust_core::tensor::parity,true,f32,0,0,cpu
pow,elementwise,parity,2d,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
qr,linear,missing,,,false,,false,f32,0.0001,0.0001,
reciprocal,elementwise,parity,2d,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
relu,elementwise,experimental,2d|nd|simd|gpu|cuda,2d,true,scirust_core::tensor::parity,true,f32,0,0,cpu|gpu|cuda
reshape,shape,experimental,2d|nd|tnd|core,,true,scirust_core::tensor::parity,true,f32,0,0,cpu
rms_norm,normalization,experimental,nd|simd|gpu|cuda,,true,scirust_core::tensor::parity,true,f32,0.0001,0.0001,cpu|gpu|cuda
rope,positional,experimental,nd|simd|cuda,,true,scirust_core::tensor::parity,true,f32,0.0001,0.0001,cpu|cuda
rsqrt,elementwise,experimental,gpu,,true,scirust_core::tensor::parity,false,f32,0.00001,0.00001,gpu
scaled_dot_product_attention,attention,experimental,simd|cuda,,true,scirust_core::tensor::parity,true,f32,0.0001,0.0001,cpu|cuda
sigmoid,elementwise,experimental,2d|nd|simd|gpu,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu|gpu
silu,elementwise,experimental,simd|gpu|cuda,,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu|gpu|cuda
sin,elementwise,parity,2d,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
sinh,elementwise,parity,2d,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
slice,shape,experimental,2d|core,,true,scirust_core::tensor::parity,true,f32,0,0,cpu
softmax,normalization,experimental,2d|nd|simd|gpu|cuda,,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu|gpu|cuda
solve,sparse,experimental,sparse,,true,scirust_core::tensor::parity,false,f64,0.00000001,0.00000001,cpu
sparse_autograd,sparse,missing,,,false,,true,f64,0.00000001,0.00000001,
spmv,sparse,experimental,sparse,,true,scirust_core::tensor::parity,false,f64,0.0000000001,0.0000000001,cpu
sqrt,elementwise,experimental,2d|simd|gpu,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu|gpu
sub,elementwise,experimental,2d|nd,2d,true,scirust_core::tensor::parity,true,f32,0.00001,0.00001,cpu
sum,reduction,experimental,2d|nd|gpu|cuda,,true,scirust_core::tensor::parity,true,f32,0.0001,0.0001,cpu|gpu|cuda
svd,linear,missing,,,false,,false,f32,0.0001,0.0001,
